id,name,text_review,photo_1,photo_2,photo_3
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie," Une adresse immanquable. 
Le meilleur magret de Paris.
Les ravioles au foie gras sont à tomber également.
Personnel agréable et superbe sélection de... Très bon, le prix abordable et le restaurant est bien situé dans Paris. Petite quantité pour les ravioles Très bon accueil 
Très bonne cuisine",https://s3-media2.fl.yelpcdn.com/bphoto/Je6THJBI0U0b1N47INfaKQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/Y0D70Mjn25o7lPMwqLhYHg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/HetBW7WV0-esELYiXv8erg/o.jpg
IU9_wVOGBKjfqTTpAXpKcQ,Bistro des Augustins," Voilà un bar qu on aime voir à Paris !
L accueil de Cathy la patronne est juste parfait ! Elle gère son bar entouré de son équipe de garçons !
Les cocktails... Super resto juste au bord de la Seine avec Notre Dame en fond ! Bon rapport qualité prix (salade pour 10 euros et gratins pour 13/14). Belles portions. C'est dans un bistrot de coin que j'ai posé mes fesses pour le déjeuner du jour... wahoooo... aucune déception pour le moment. Petit, bien placé et peu de...",https://s3-media1.fl.yelpcdn.com/bphoto/hPCZTbuWGgjBvMsB2unxWg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/Y5fZV7nTccxCc6cVfPTmOg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/mYdGVnmE50sBzb1I-ppEqw/o.jpg
FFz-WusZrBYZexKqhqzCkg,L'As du Fallafel," Rien a ajouter, ils sont toujours parfaits les fallafels a emporter et l'effet COVID 19 est une aubaine : on attend pas trop en ce moment ;) FR: Ca vaut absolument la peine! A savoir: il ouvre ses portes vers 11h donc faut mieux etre dans la zone a cette heure la comme ca tu evites la queue --... Un test pour voir comment ça marche. Merci pour  la comprehensive and u there is a toi aussi tu me met dans une question de la moto est toujours disponible...",https://s3-media3.fl.yelpcdn.com/bphoto/QMNELSZ6-LzA9kLP3zQPgw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/xtLO-XECAC91V5ewNjLmbQ/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/xIxo5aY5-vpmnfSXUYQBUg/o.jpg
cEjF41ZQB8-SST8cd3EsEw,L'Avant Comptoir," Nous sommes complètement déstabilisé, possiblement un des endroits le plus secrètement gardé par les Parisiens! Expérience gastronomique servi au comptoir,... Escargot une délicieuse délicatesse de France que peu de gens peuvent apprécier ... merci beaucoup à la crèche pour le vin que nous avons tout apprécié ... On a adoré le concept de l'avant comptoir !

La nourriture était bonne, l'ambiance conviviale puisque tout le monde est debout autour du comptoir. 

Pour...",https://s3-media3.fl.yelpcdn.com/bphoto/mVwgxgmpUcAUOZKdxypwSw/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/XA5QGIXu9meiAWWNPTR6OA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/azxglNBbUKqPl0GDE4GzNw/o.jpg
26Ts-2XRSeqiweSwLuyv6Q,Grenouilles," Nous quittons à regret cette très sympathique adresse. Nous qui adorons manger local, ici nous sommes entourés de produits homemade. Service impeccable pour...",https://s3-media4.fl.yelpcdn.com/bphoto/fgVrLC9wMetmYwaPSGly_w/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/dyUbhhHdbMuL6B0D3hre9Q/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/pJOb8DrEixxcZ3-CyjLOEQ/o.jpg
WHHt_Jb8Tgidn9mW7oDnIg,La Coïncidence," Restaurant situé à proximité du Trocadero, au fond de la rue Chesnil.
On ne le distingue que de très près, il n'est pas visible à plus de 5 mètres.

Pas de... Top.   Petit coin agréable.   Serveur sympa, et bonne bouffe.  Tout très correct. 

Le camembert rôti au miel était juste comme il fallait. Très bon accueil, ambiance sympa et un menu original fait maison pour le déjeuner comprenant entrée, plat et dessert. En bonus : une bonne carte de vins....",https://s3-media1.fl.yelpcdn.com/bphoto/QdrAgEgbd5TLlqZYT_dezg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/R3WTup6dnY7KVD66QiSjww/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/gZ7bzdfWnZcgiFaFF9dUTA/o.jpg
ijqSzadlZ9SCXvUEpMimcA,Angelina," J'ai juste goûté le chocolat chaud de chez Angelina et je peux vous dire que ça en vaut le détour car il était excellent !

Le lieu y est agréable même si... Une étoile pour le magnifique cadre, les petites tables en marbre et les dorures qui nous emmènent au début du 20e siècle. C'est tout haha.

 Je suis venue... C est depuis 1992 je ne  manque jamais de passer chez Angelina au moins une fois par an. 1 Mont Blanc et un chocolat chaud plus tard  j'étais au paradis....",https://s3-media3.fl.yelpcdn.com/bphoto/DPM5TBOugWZeUJDG55zfwQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/F-sXIj_B_kopkzZIlK0tUQ/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/AoHqsakgB0y_mJfQZFhQoA/o.jpg
zilE2uoIZQ6fpdWGv4mJXw,L'Estrapade," Une grande expérience de souper ! Sur le passé 6 ans de visiter de Paris annuellement, le repas que j'ai eu voici un essentiel.


 Petit resto, 7 tables.... Un repas parfait, un service impeccable, de bons produits, que demander de plus ? Le décor est sympathique. Il y a une certaine recherche dans la...",https://s3-media4.fl.yelpcdn.com/bphoto/_ugHdj8ipfpo0iYrhCZM-w/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/gKPLHeSZyeUbMiqL1ITYcg/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/AcgObtO5kjJ4O3XWD6QeTg/o.jpg
KggnM_Z4wOa_JExunaaWHg,Le Temps des Cerises," Un gros ""Mouais""
Attiré par les bons commentaires, j'ai testé... Et je suis un peu déçu !
Le cadre est sympa, mais sans plus.
Les plats sont corrects, mais... Un resto comme on les aime...Un cadre chaleureux au coin d'une cheminée, un accueil sympathique avec du personnel jeune, bienveillant et attentif, une carte... Service adorable, plats délicieux, copieux, cuisson respectée (assez rare et mérite d'être souligné), que dire de plus ? Je m'y suis rendu à plusieurs...",https://s3-media1.fl.yelpcdn.com/bphoto/g3AabbeUo_jMvM2jjSH1XQ/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/Fd0Ozov1K_j3I1_MCozWNQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/Eo8fY74N450HUL6pn4Qk0g/o.jpg
ZxtU74SJMRoB8ZQXWwNtRQ,Le Soufflé," Restaurant essentiellement basé sur le soufflé comme son nom l'indique.  L'accueil ainsi que le service sont impeccables.
Le soufflé en plat est bon mais le... Plutôt atypique, ce restaurant familial s'est spécialisé dans... le soufflé ! Sucré et salé ; on peut venir ici pour un repas 100% soufflé, de l'entrée au... L'expérience du Soufflé est indéniablement dans les meilleures révélations de mon année 2015.
Emmenée par un oncle qui travaillait à la Cour des Comptes...",https://s3-media3.fl.yelpcdn.com/bphoto/vBoDsq-JBC3qNftdlpM0wQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/bOdi-JtVpmjRUQqNkcsdxQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/LgilzzorpPZSTFafWrhvlA/o.jpg
